,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,PlayerName,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,HS(out/not_out),BBI_wickets,BBI_runs,career_span_yrs
1673,Pooja Vastrakar,1999-09-25,24,Right hand Bat,Right arm Medium,Bowler,6,Pooja Vastrakar,58,2018-2024,305,37,15.25,0,40,22.77,0,11,0,-7.52,35,19,Not Out,4,17,6
1686,Washington Sundar,1999-10-05,24,Left hand Bat,Right arm Offbreak,Bowling Allrounder,14,Washington Sundar,43,2017-2024,107,50,10.7,0,34,28.47,0,13,0,-17.77,31,8,Out,3,18,7
1688,Radha Prakash Yadav,2000-04-21,23,Right hand Bat,Slow Left arm Orthodox,Bowler,7,Radha Prakash Yadav,67,2018-2023,71,14,4.73,0,68,21.54,0,20,0,-16.81,38,26,Out,4,23,5
1691,Umeshkumar Tilak Yadav,1987-10-25,36,Right hand Bat,Right arm Fast,Bowler,11,Umeshkumar Tilak Yadav,9,2012-2022,22,20,22.0,0,12,23.33,0,3,0,-1.33,5,4,Not Out,2,19,10
1712,Curtis Campher,1999-04-20,24,Right hand Bat,Right arm Medium fast,Allrounder,15,Curtis Campher,44,2021-2023,707,72,23.56,0,26,29.46,0,20,0,-5.89,19,25,Not Out,4,25,2
1713,Ava Canning,2004-02-02,20,Right hand Bat,Right arm Medium,Bowler,1,Ava Canning,22,2021-2024,22,14,7.33,0,11,28.63,0,1,0,-21.3,13,9,Not Out,2,5,3
1716,Peter Karl David Chase,1993-10-09,30,Right hand Bat,Right arm Medium fast,Bowler,5,Peter Karl David Chase,12,2018-2019,7,4,7.0,0,15,27.73,0,5,0,-20.73,3,8,Out,4,35,1
1729,David Colin Alex Delany,1997-12-28,26,Left hand Bat,Right arm Fast medium,Bowler,4,David Colin Alex Delany,8,2019-2019,7,7,3.5,0,8,27.75,0,0,0,-24.25,5,3,Out,2,12,0
1730,Gareth James Delany,1997-04-28,26,Right hand Bat,Legbreak Googly,Batting Allrounder,5,Gareth James Delany,64,2019-2023,880,89,20.0,0,40,27.67,0,21,0,-7.67,29,33,Not Out,3,16,4
1731,Laura Delany,1992-12-23,31,Right hand Bat,Right arm Medium,Allrounder,3,Laura Delany,102,2010-2024,1201,61,19.06,0,75,19.85,0,19,0,-0.78,42,59,Out,4,12,14
1732,Georgina Dempsey,2004-07-29,19,Right hand Bat,Right arm Medium,Allrounder,3,Georgina Dempsey,20,2021-2024,22,12,7.33,0,13,23.76,0,6,0,-16.43,13,7,Not Out,2,13,3
1735,George Henry Dockrell,1992-07-22,31,Right hand Bat,Slow Left arm Orthodox,Allrounder,8,George Henry Dockrell,128,2010-2023,969,58,19.77,0,83,22.62,0,61,0,-2.85,55,66,Not Out,4,20,13
1746,Shane Charles Getkate,1991-10-02,32,Right hand Bat,Right arm Medium fast,Allrounder,7,Shane Charles Getkate,30,2019-2022,275,30,11.95,0,16,28.93,0,9,0,-16.98,13,16,Out,3,20,3
1752,Fionn Philip Hand,1998-07-01,25,Right hand Bat,Right arm Medium,Bowling Allrounder,2,Fionn Philip Hand,10,2022-2023,59,36,9.83,0,4,39.0,0,3,0,-29.16,3,7,Out,1,11,1
1754,Graham Ian Hume,1990-11-23,33,Left hand Bat,Right arm Fast medium,Bowler,7,Graham Ian Hume,4,2022-2023,21,20,21.0,0,4,35.5,0,0,0,-14.5,1,3,Not Out,3,17,1
1759,Cecelia Nora Isobel Mary Joyce,1983-07-25,40,Right hand Bat,Legbreak,Opening Batter,4,Cecelia Nora Isobel Mary Joyce,43,2008-2018,659,60,19.38,0,1,31.0,0,6,1,-11.61,11,32,Out,1,31,10
1760,Isobel Mary Helen Cecilia Joyce,1983-07-25,40,Right hand Bat,Left arm Medium,Allrounder,3,Isobel Mary Helen Cecilia Joyce,55,2008-2018,944,56,20.08,0,33,30.81,0,17,0,-10.73,15,40,Not Out,3,16,10
1761,Tyrone Edward Kane,1994-07-08,29,Right hand Bat,Right arm Medium fast,Bowler,6,Tyrone Edward Kane,9,2015-2023,45,26,15.0,0,9,15.88,0,1,0,-0.88,2,5,Not Out,3,19,8
1764,Arlene Nora Kelly,1994-01-08,30,Right hand Bat,Right arm Medium,Allrounder,2,Arlene Nora Kelly,32,2022-2024,89,28,6.35,0,40,15.32,1,17,0,-8.96,17,15,Not Out,5,12,2
1772,Gaby Hollis Lewis,2001-03-27,22,Right hand Bat,Legbreak,Allrounder,5,Gaby Hollis Lewis,81,2014-2024,1879,105,27.63,1,3,40.0,0,24,0,-12.36,37,43,Not Out,2,20,10
1775,Joshua Brian Little,1999-11-01,24,Right hand Bat,Left arm Fast medium,Bowler,12,Joshua Brian Little,63,2016-2023,93,15,8.45,0,72,24.29,0,14,0,-15.83,22,39,Not Out,4,23,7
